AssetType,Year,Growth
Bonds: Barclays Aggregate,2019,8.70%
Bonds: High Yield,2019,14.90%
Cash & NCE: 3mo Tbills/CDs,2019,1.60%
Cash & NCE: Savings,2019,1.10%
Cash & NCE: US T-bond,2019,9.60%
Metals: Gold,2019,9.80%
Metals: Silver,2019,3.20%
Metals: Steel,2019,-17.90%
REIT: Industrial,2019,48.70%
REIT: Residential,2019,30.90%
REIT: Storage,2019,13.70%
Stocks: Dow Jones,2019,22.30%
Stocks: NASDAQ,2019,32.20%
Stocks: S&P 500,2019,31.20%
